"index","Date","Rented Bike Count","Hour","Temperature(C)","Humidity(%)","Wind speed (m/s)","Visibility (10m)","Dew point temperature(C)","Solar Radiation (MJ/m2)","Rainfall(mm)","Snowfall (cm)","Seasons","Holiday","Functioning Day"
"0","01/12/2017","254","0","-5.2","37","2.2","2000","-17.6","0","0","0","Winter","No Holiday","Yes"
"1","01/12/2017","204","1","-5.5","38","0.8","2000","-17.6","0","0","0","Winter","No Holiday","Yes"
"2","01/12/2017","173","2","-6","39","1","2000","-17.7","0","0","0","Winter","No Holiday","Yes"
"3","01/12/2017","107","3","-6.2","40","0.9","2000","-17.6","0","0","0","Winter","No Holiday","Yes"
"4","01/12/2017","78","4","-6","36","2.3","2000","-18.6","0","0","0","Winter","No Holiday","Yes"
"5","01/12/2017","100","5","-6.4","37","1.5","2000","-18.7","0","0","0","Winter","No Holiday","Yes"
"6","01/12/2017","181","6","-6.6","35","1.3","2000","-19.5","0","0","0","Winter","No Holiday","Yes"
"7","01/12/2017","460","7","-7.4","38","0.9","2000","-19.3","0","0","0","Winter","No Holiday","Yes"
"8","01/12/2017","930","8","-7.6","37","1.1","2000","-19.8","0.01","0","0","Winter","No Holiday","Yes"
"9","01/12/2017","490","9","-6.5","27","0.5","1928","-22.4","0.23","0","0","Winter","No Holiday","Yes"
"10","01/12/2017","339","10","-3.5","24","1.2","1996","-21.2","0.65","0","0","Winter","No Holiday","Yes"
"11","01/12/2017","360","11","-0.5","21","1.3","1936","-20.2","0.94","0","0","Winter","No Holiday","Yes"
"12","01/12/2017","449","12","1.7","23","1.4","2000","-17.2","1.11","0","0","Winter","No Holiday","Yes"
"13","01/12/2017","451","13","2.4","25","1.6","2000","-15.6","1.16","0","0","Winter","No Holiday","Yes"
"14","01/12/2017","447","14","3","26","2","2000","-14.6","1.01","0","0","Winter","No Holiday","Yes"
"15","01/12/2017","463","15","2.1","36","3.2","2000","-11.4","0.54","0","0","Winter","No Holiday","Yes"
"16","01/12/2017","484","16","1.2","54","4.2","793","-7","0.24","0","0","Winter","No Holiday","Yes"
"17","01/12/2017","555","17","0.8","58","1.6","2000","-6.5","0.08","0","0","Winter","No Holiday","Yes"
"18","01/12/2017","862","18","0.6","66","1.4","2000","-5","0","0","0","Winter","No Holiday","Yes"
"19","01/12/2017","600","19","0","77","1.7","2000","-3.5","0","0","0","Winter","No Holiday","Yes"
"20","01/12/2017","426","20","-0.3","79","1.5","1913","-3.5","0","0","0","Winter","No Holiday","Yes"
"21","01/12/2017","405","21","-0.8","81","0.8","1687","-3.6","0","0","0","Winter","No Holiday","Yes"
"22","01/12/2017","398","22","-0.9","83","1.5","1380","-3.4","0","0","0","Winter","No Holiday","Yes"
"23","01/12/2017","323","23","-1.3","84","1","1265","-3.6","0","0","0","Winter","No Holiday","Yes"
"24","02/12/2017","328","0","-1.8","87","1.1","994","-3.6","0","0","0","Winter","No Holiday","Yes"
"25","02/12/2017","308","1","-2.2","86","0.6","990","-4.2","0","0","0","Winter","No Holiday","Yes"
"26","02/12/2017","262","2","-2.9","86","1.5","1256","-4.9","0","0","0","Winter","No Holiday","Yes"
"27","02/12/2017","167","3","-3.5","81","2.2","1221","-6.2","0","0","0","Winter","No Holiday","Yes"
"28","02/12/2017","89","4","-3.8","79","2","1167","-6.9","0","0","0","Winter","No Holiday","Yes"
"29","02/12/2017","79","5","-4","79","1.5","1202","-7.1","0","0","0","Winter","No Holiday","Yes"
"30","02/12/2017","70","6","-4.3","82","2.1","1178","-6.9","0","0","0","Winter","No Holiday","Yes"
"31","02/12/2017","146","7","-4.4","81","2.5","1276","-7.1","0","0","0","Winter","No Holiday","Yes"
"32","02/12/2017","219","8","-4.2","79","2.1","1436","-7.3","0.01","0","0","Winter","No Holiday","Yes"
"33","02/12/2017","328","9","-2.9","68","1.6","1487","-7.9","0.3","0","0","Winter","No Holiday","Yes"
"34","02/12/2017","334","10","-0.4","57","1.6","1309","-7.8","0.8","0","0","Winter","No Holiday","Yes"
"35","02/12/2017","388","11","1.9","49","1.8","1406","-7.7","1","0","0","Winter","No Holiday","Yes"
"36","02/12/2017","479","12","4.3","41","1.3","1666","-7.8","1.09","0","0","Winter","No Holiday","Yes"
"37","02/12/2017","606","13","6","36","1.8","1780","-7.9","1.12","0","0","Winter","No Holiday","Yes"
"38","02/12/2017","611","14","7.3","35","1.3","1955","-7.1","0.99","0","0","Winter","No Holiday","Yes"
"39","02/12/2017","589","15","7.6","41","2.3","1953","-4.8","0.74","0","0","Winter","No Holiday","Yes"
"40","02/12/2017","618","16","6.4","48","2.6","1945","-3.8","0.22","0","0","Winter","No Holiday","Yes"
"41","02/12/2017","572","17","6","51","2.5","1891","-3.3","0.06","0","0","Winter","No Holiday","Yes"
"42","02/12/2017","489","18","5.5","53","1.5","1697","-3.3","0","0","0","Winter","No Holiday","Yes"
"43","02/12/2017","385","19","5","52","2.3","1666","-4","0","0","0","Winter","No Holiday","Yes"
"44","02/12/2017","359","20","4.6","51","1.2","1585","-4.6","0","0","0","Winter","No Holiday","Yes"
"45","02/12/2017","377","21","4.1","55","1.2","1448","-4.1","0","0","0","Winter","No Holiday","Yes"
"46","02/12/2017","354","22","3.5","54","1.5","1446","-4.9","0","0","0","Winter","No Holiday","Yes"
"47","02/12/2017","366","23","4","56","1","1352","-4","0","0","0","Winter","No Holiday","Yes"
"48","03/12/2017","342","0","4","58","1.4","1296","-3.5","0","0","0","Winter","No Holiday","Yes"
"49","03/12/2017","227","1","3.9","69","1.7","485","-1.2","0","0","0","Winter","No Holiday","Yes"
"50","03/12/2017","228","2","3.3","79","1.4","830","0","0","0","0","Winter","No Holiday","Yes"
"51","03/12/2017","117","3","3.4","71","1.6","1011","-1.3","0","0.5","0","Winter","No Holiday","Yes"
"52","03/12/2017","76","4","3.5","73","1","1060","-0.8","0","0","0","Winter","No Holiday","Yes"
"53","03/12/2017","32","5","3.9","75","1.9","914","-0.1","0","0","0","Winter","No Holiday","Yes"
"54","03/12/2017","13","6","3.4","86","2.5","278","1.2","0","1","0","Winter","No Holiday","Yes"
